n,Naive(nanoseconds),3 sub problem(nanoseconds),FFT(nanoseconds)
32,55000,489000,1.29E+06
64,196000,1.42E+06,2.77E+06
128,781000,4.16E+06,5.84E+06
256,2.54E+06,1.08E+07,1.29E+07
512,1.06E+07,3.20E+07,2.58E+07
1024,4.23E+07,1.02E+08,5.87E+07
2048,1.57E+08,2.77E+08,1.11E+08
4096,6.64E+08,8.71E+08,2.50E+08
8192,2.50E+09,2.50E+09,4.97E+08
16384,9.54E+09,7.43E+09,1.04E+09
32768,3.65E+10,2.20E+10,2.14E+09
65536,1.52E+11,6.80E+10,4.47E+09
131072,6.02E+11,1.98E+11,9.28E+09
262144,2.39E+12,5.89E+11,1.87E+10
524288,9.32E+12,1.69E+12,4.08E+10
1048576,3.66E+13,4.98E+12,8.68E+10
